Module,Theta_i,Theta_r,Phi_r,Angular_Deviation,L,a,b,Hue,Chroma,total_brdf,lobe_specular,lobe_forward_scatter,lobe_backscatter,lobe_residual
1,0,60.0,259.0,60.0,9.5079689298,11.4322359321,-12.6811033516,312.035211279,17.0735585225,0.0174298097251,False,False,True,False
1,0,80.0,110.0,80.0,10.1671275566,11.6410448539,-13.051386086,311.731026568,17.4886421445,0.0187696122076,False,False,True,False
1,0,10.0,206.0,10.0,13.9513430401,11.400177419,-14.9342757725,307.356541707,18.7882047581,0.0266645143663,True,False,False,False
1,0,4.0,0.0,4.0,25.8137400575,6.23908542881,-9.70563221638,302.734183791,11.5380017207,0.0566367637456,True,False,False,False
1,0,30.0,100.0,30.0,11.1472507075,11.2358896673,-13.4301590328,309.916401194,17.5104079981,0.0204422191514,False,True,False,False
1,0,70.0,138.0,70.0,9.44382796606,11.4403820509,-12.7125780762,311.984876188,17.1023969903,0.0173083668877,False,False,True,False
1,0,6.0,114.0,6.0,19.6542060769,8.0783809397,-12.4951490902,302.883531817,14.8791461245,0.0387651888999,True,False,False,False
1,0,30.0,280.0,30.0,11.3710614266,11.4684807677,-13.5777592962,310.186173187,17.7730582238,0.0209680728317,False,True,False,False
1,0,4.0,166.0,4.0,23.6365172184,6.66691190144,-10.5077210889,302.394205083,12.444272449,0.049629919555,True,False,False,False
1,0,70.0,275.0,70.0,9.66033693021,11.1837079029,-12.4030033649,312.040776323,16.7005932507,0.0174902882122,False,False,True,False
1,0,80.0,30.0,80.0,9.63520089535,11.5488789884,-12.7549861968,312.158961902,17.2065766138,0.0177275464699,False,False,True,False
1,0,30.0,180.0,30.0,11.5354999393,11.6262522448,-13.8599023261,309.991298002,18.0905122578,0.0215304171492,False,True,False,False
1,0,80.0,290.0,80.0,9.71481476863,11.5346990757,-12.6884285084,312.273105697,17.1477549778,0.0177450163943,False,False,True,False
1,0,10.0,0.0,10.0,13.7941339257,11.4433046083,-15.1528632344,307.059770964,18.9883776178,0.0264202108389,True,False,False,False
1,0,6.0,265.0,6.0,24.4543630984,6.24172514332,-10.8835423214,299.834324988,12.5463391563,0.0525205496309,True,False,False,False
1,0,80.0,270.0,80.0,9.74646932444,11.5572283929,-12.7777900039,312.128645106,17.2290871932,0.0178724504939,False,False,True,False
1,0,60.0,202.0,60.0,9.42436124545,11.3386814644,-12.3740313292,312.499926528,16.7833950287,0.0171174416684,False,False,True,False
1,0,40.0,0.0,40.0,10.2363278302,11.4485277973,-13.0361277698,311.290100143,17.3496229342,0.0187545614525,False,True,False,False
1,0,4.0,138.0,4.0,27.3694057474,5.71843402774,-9.22419111795,301.796380135,10.8529346036,0.0620881828681,True,False,False,False
1,0,70.0,74.0,70.0,9.43654327679,11.4987586592,-12.907722127,311.696034922,17.2867215287,0.0173288420311,False,False,True,False
1,0,40.0,345.0,40.0,10.191020351,11.4037907471,-12.9819552016,311.297171214,17.2793982609,0.0185660499313,False,True,False,False
1,0,80.0,240.0,80.0,9.67071076997,11.3957213155,-12.7358379539,311.821413844,17.0898810027,0.0176447037947,False,False,True,False
1,0,80.0,120.0,80.0,9.51077162423,11.3162008376,-12.5615540462,312.014422402,16.9070707532,0.0173814536959,False,False,True,False
1,0,2.0,103.0,2.0,47.55286691,1.85225726531,-4.36034820057,293.015577696,4.73745642799,0.172519690451,True,False,False,False
1,0,8.0,194.0,8.0,14.4750714845,11.2029489667,-15.1152191898,306.54473783,18.814247705,0.0277615455742,True,False,False,False
1,0,8.0,152.0,8.0,14.5002752156,11.3037929582,-14.8203175555,307.333589064,18.6391402078,0.0278194654748,True,False,False,False
1,0,70.0,254.0,70.0,9.2673662256,11.3105768719,-12.6321382104,311.840662022,16.9558268729,0.0168699277222,False,False,True,False
