Module,Theta_i,Theta_r,Phi_r,Angular_Deviation,L,a,b,Hue,Chroma,total_brdf,zone_specular,zone_forward_scatter,zone_backscatter,zone_residual
25,0,30.0,300.0,30.0,13.3082651466,12.5232022182,-14.2331751718,311.343257888,18.9582137678,0.0260112061274,False,True,False,False
25,0,10.0,51.0,10.0,39.5687773727,-23.7224777794,2.34539873927,174.353619194,23.838138502,0.0997284487855,True,False,False,False
25,0,8.0,305.0,8.0,44.5649716812,-27.7177643073,4.25574148194,171.271063228,28.0425710975,0.126071823699,True,False,False,False
25,0,6.0,208.0,6.0,46.7468584029,-28.9702031091,4.4300808273,171.305765106,29.306966481,0.139921040654,True,False,False,False
25,0,80.0,220.0,80.0,12.8656883112,13.0556988014,-14.5652111118,311.871836143,19.5600778609,0.025296171632,False,False,True,False
25,0,60.0,0.0,60.0,13.2751145395,13.2296490267,-14.7601632774,311.870119666,19.8213529645,0.0263480124002,False,False,True,False
25,0,40.0,45.0,40.0,12.9870272083,12.8722584479,-14.5330454504,311.532063421,19.4140270839,0.025476498778,False,True,False,False
25,0,6.0,95.0,6.0,59.5935855475,-40.1043561956,9.74601600596,166.340964971,41.2715908811,0.232514264909,True,False,False,False
25,0,70.0,32.0,70.0,13.2705847087,13.1376546789,-14.6865390529,311.813814572,19.7051363815,0.0263350653033,False,False,True,False
25,0,6.0,341.0,6.0,44.8521978523,-28.0784066117,4.26811958384,171.356794976,28.4009465095,0.127172921807,True,False,False,False
25,0,40.0,210.0,40.0,13.2358949995,12.8783365822,-14.3449144557,311.916328117,19.2776586718,0.0259160142921,False,True,False,False
25,0,80.0,10.0,80.0,13.1746337711,13.188324343,-14.577410484,312.135949295,19.6578939715,0.0260886457313,False,False,True,False
25,0,80.0,50.0,80.0,13.0198008937,13.0325414552,-14.5637135779,311.824212594,19.5435127334,0.0255586427921,False,False,True,False
25,0,70.0,265.0,70.0,13.1217347552,13.4421549362,-14.8492638212,312.152669435,20.0297819599,0.0260416095393,False,False,True,False
25,0,70.0,53.0,70.0,12.9913962601,13.0949029562,-14.6752851331,311.742850103,19.6682606544,0.0255256125514,False,False,True,False
25,0,70.0,296.0,70.0,13.2004085049,13.0175383065,-14.6412658589,311.640271169,19.5914003969,0.0261025041424,False,False,True,False
25,0,60.0,34.0,60.0,12.922933642,12.7781385522,-14.4390547791,311.50788299,19.2812636457,0.0252854452339,False,False,True,False
25,0,2.0,206.0,2.0,70.1008342259,-34.9486353533,8.10776651926,166.93894189,35.8767750918,0.357277053717,True,False,False,False
25,0,80.0,280.0,80.0,13.0455763253,12.9564344046,-14.5244014525,311.734429897,19.4634896675,0.0257146208194,False,False,True,False
25,0,60.0,11.0,60.0,13.0155345141,13.0024382764,-14.4921521644,311.898628454,19.4701277727,0.025611642522,False,False,True,False
25,0,50.0,334.0,50.0,13.2021472025,13.0546422871,-14.5720352321,311.856192934,19.5644549132,0.0260456760928,False,False,True,False
25,0,80.0,260.0,80.0,13.0500108388,13.0847531946,-14.5945292965,311.877875612,19.6013022922,0.0257384930364,False,False,True,False
25,0,60.0,225.0,60.0,13.0890513778,13.0546080024,-14.6459564424,311.712072663,19.6195522428,0.0258467589885,False,False,True,False
25,0,60.0,169.0,60.0,12.9460219331,13.0097968541,-14.487339548,311.924202547,19.4714617162,0.0254233423269,False,False,True,False
